Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.6276,0.5897
ROCKET,1.1PN,0.5833,0.4
ROCKET,1PN,0.4263,0.1429
ROCKET,2.1PN,0.6,0.6
ROCKET,2PN,0.5324,0.6301
ROCKET,3PN,0.6429,0.5161
ROCKET,>3PN,0.45,0.2222
ROCKET,not_vital,0.8712,0.0
LSTMFCN,Overall,0.6797,0.6095
LSTMFCN,1.1PN,0.3333,0.0
LSTMFCN,1PN,0.6058,0.2143
LSTMFCN,2.1PN,0.9,0.8571
LSTMFCN,2PN,0.6141,0.6299
LSTMFCN,3PN,0.9048,0.8
LSTMFCN,>3PN,0.55,0.2857
LSTMFCN,not_vital,0.9509,0.0
ConvTran,Overall,0.651,0.5992
ConvTran,1.1PN,0.25,0.0
ConvTran,1PN,0.4647,0.1538
ConvTran,2.1PN,0.6,0.6
ConvTran,2PN,0.5594,0.6289
ConvTran,3PN,0.7619,0.6154
ConvTran,>3PN,0.6,0.3333
ConvTran,not_vital,0.9571,0.0
