Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.6898,0.6214
ROCKET,1.1PN,0.25,0.0
ROCKET,1PN,0.3558,0.0769
ROCKET,2.1PN,0.8,0.75
ROCKET,2PN,0.6265,0.6454
ROCKET,3PN,0.8095,0.6667
ROCKET,>3PN,0.6,0.3333
ROCKET,not_vital,0.9877,0.0
LSTMFCN,Overall,0.701,0.6335
LSTMFCN,1.1PN,0.4167,0.0
LSTMFCN,1PN,0.4936,0.1538
LSTMFCN,2.1PN,0.8,0.75
LSTMFCN,2PN,0.6339,0.6534
LSTMFCN,3PN,0.8333,0.6957
LSTMFCN,>3PN,0.65,0.4
LSTMFCN,not_vital,0.9816,0.0
ConvTran,Overall,0.694,0.6376
ConvTran,1.1PN,0.3333,0.0
ConvTran,1PN,0.5032,0.1667
ConvTran,2.1PN,0.7,0.6667
ConvTran,2PN,0.6126,0.6675
ConvTran,3PN,0.7619,0.6154
ConvTran,>3PN,0.8,0.5
ConvTran,not_vital,0.9571,0.0
