Numero sottocartelle totali: 7253
Sottocartelle vuote: 58
Skipped (not directories - years): 0
Skipped (not directories - videos): 0
Skipped frames (_0_ filter): 0
Wells unfiltered (unique keys): 7195
Removed: 355 wells (fewer than 250 frames)
Removed: 78 wells (outliers avg interval)
Valid wells: 6762

-- Per-well detailed stats --
Outliers (avg interval):
('D2014.09.25_S1119_I141', 1): avg=17.3, min=6.3@306, max=1089.1@186, sd=48.8, outliers=1
('D2014.09.25_S1119_I141', 2): avg=17.3, min=6.3@306, max=1089.1@186, sd=48.8, outliers=1
('D2014.09.25_S1119_I141', 3): avg=17.3, min=6.3@306, max=1089.1@186, sd=48.8, outliers=1
('D2014.09.25_S1119_I141', 4): avg=17.3, min=6.3@306, max=1089.1@186, sd=48.8, outliers=1
('D2014.09.25_S1119_I141', 5): avg=17.3, min=6.3@306, max=1089.1@186, sd=48.8, outliers=1
('D2014.09.25_S1120_I141', 1): avg=17.4, min=13.0@188, max=1089.1@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 2): avg=17.4, min=13.0@188, max=1089.1@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 3): avg=17.4, min=13.0@188, max=1089.1@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 4): avg=17.4, min=13.0@188, max=1089.2@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 5): avg=17.4, min=13.0@188, max=1089.2@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 6): avg=17.4, min=13.0@188, max=1089.2@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 7): avg=17.4, min=13.0@188, max=1089.2@178, sd=49.3, outliers=1
('D2014.09.25_S1120_I141', 8): avg=17.4, min=12.9@188, max=1089.2@178, sd=49.3, outliers=1
('D2014.09.25_S1121_I141', 1): avg=17.9, min=7.0@188, max=1088.8@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 2): avg=17.9, min=7.0@188, max=1088.8@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 3): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 4): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 5): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 6): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 7): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 8): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 9): avg=17.9, min=7.0@188, max=1089.0@177, sd=55.1, outliers=1
('D2014.09.25_S1121_I141', 10): avg=17.9, min=7.0@188, max=1089.1@177, sd=55.1, outliers=1
('D2014.09.27_S1123_I141', 1): avg=16.8, min=6.8@21, max=1083.7@15, sd=43.3, outliers=1
('D2014.09.27_S1123_I141', 2): avg=16.8, min=6.8@21, max=1083.7@15, sd=43.3, outliers=1
('D2014.09.27_S1123_I141', 3): avg=16.8, min=6.8@21, max=1083.9@15, sd=43.3, outliers=1
('D2017.02.24_S1700_I141', 1): avg=22.5, min=10.1@416, max=1905.7@440, sd=112.6, outliers=3
('D2017.02.24_S1700_I141', 2): avg=22.5, min=10.1@416, max=1905.7@440, sd=112.6, outliers=3
('D2017.02.24_S1700_I141', 3): avg=22.5, min=10.0@416, max=1905.6@440, sd=112.6, outliers=3
('D2017.02.24_S1700_I141', 4): avg=22.5, min=10.0@416, max=1905.6@440, sd=112.5, outliers=3
('D2017.02.24_S1700_I141', 5): avg=22.5, min=9.9@416, max=1905.6@440, sd=112.5, outliers=3
('D2017.02.24_S1700_I141', 6): avg=22.5, min=9.9@416, max=1905.6@440, sd=112.5, outliers=3
('D2017.02.24_S1700_I141', 7): avg=22.5, min=9.8@416, max=1905.6@440, sd=112.5, outliers=3
('D2017.02.24_S1700_I141', 8): avg=22.5, min=9.8@416, max=1890.6@440, sd=111.9, outliers=3
('D2017.02.24_S1700_I141', 9): avg=22.5, min=9.8@416, max=1890.6@440, sd=111.9, outliers=3
('D2017.02.24_S1700_I141', 10): avg=22.5, min=9.8@416, max=1890.6@440, sd=111.9, outliers=3
('D2017.02.24_S1700_I141', 11): avg=22.5, min=9.8@416, max=1890.6@440, sd=111.9, outliers=3
('D2017.02.24_S1700_I141', 12): avg=22.5, min=9.7@416, max=1890.6@440, sd=111.9, outliers=3
('D2017.02.25_S1702_I141', 1): avg=20.1, min=8.8@348, max=1838.8@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 2): avg=20.1, min=8.8@348, max=1838.8@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 3): avg=20.1, min=8.9@348, max=1838.7@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 4): avg=20.1, min=8.9@348, max=1838.7@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 5): avg=20.1, min=8.9@348, max=1838.7@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 6): avg=20.1, min=8.9@348, max=1838.7@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 7): avg=20.1, min=8.9@348, max=1838.8@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 8): avg=20.1, min=8.9@348, max=1838.8@194, sd=95.2, outliers=1
('D2017.02.25_S1702_I141', 9): avg=20.1, min=8.9@348, max=1838.8@193, sd=95.2, outliers=1
('D2017.02.27_S1703_I141', 1): avg=27.4, min=6.6@149, max=1899.2@193, sd=149.4, outliers=2
('D2017.02.27_S1703_I141', 2): avg=27.4, min=6.5@149, max=1899.2@193, sd=149.4, outliers=2
('D2017.02.27_S1703_I141', 3): avg=27.4, min=6.6@149, max=1899.2@193, sd=149.4, outliers=2
('D2017.02.27_S1703_I141', 4): avg=27.4, min=6.6@149, max=1899.2@193, sd=149.4, outliers=2
('D2017.02.27_S1703_I141', 5): avg=27.4, min=6.5@149, max=1899.1@193, sd=149.4, outliers=2
('D2017.02.27_S1703_I141', 6): avg=27.4, min=6.5@149, max=1914.2@192, sd=150.2, outliers=2
('D2017.03.04_S1706_I141', 1): avg=22.9, min=3.8@128, max=2420.8@68, sd=137.3, outliers=1
('D2017.03.04_S1706_I141', 2): avg=22.9, min=3.8@128, max=2421.0@68, sd=137.3, outliers=1
('D2017.12.02_S01904_I0141_D', 1): avg=18.5, min=8.2@8, max=1200.6@360, sd=57.8, outliers=2
('D2017.12.02_S01904_I0141_D', 2): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
('D2017.12.02_S01904_I0141_D', 3): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
