2025-04-04 20:29:29,690 - INFO - Starting analysis with method: Farneback
2025-04-04 20:29:29,691 - INFO - Processing video n: 1/2554, blasto/D2018.07.11_S02062_I0141_D_3
2025-04-04 20:29:41,385 - INFO - Processed frames D2018.07.11_S02062_I0141_D_3 saved successfully
2025-04-04 20:29:42,181 - INFO - Processing video n: 2/2554, blasto/D2016.10.29_S1633_I141_1
2025-04-04 20:29:51,866 - INFO - Processed frames D2016.10.29_S1633_I141_1 saved successfully
2025-04-04 20:29:52,542 - INFO - Processing video n: 3/2554, blasto/D2015.01.24_S1208_I141_2
2025-04-04 20:30:03,773 - INFO - Processed frames D2015.01.24_S1208_I141_2 saved successfully
2025-04-04 20:30:04,448 - INFO - Processing video n: 4/2554, blasto/D2020.03.11_S02490_I0141_D_1
2025-04-04 20:30:15,538 - INFO - Processed frames D2020.03.11_S02490_I0141_D_1 saved successfully
2025-04-04 20:30:16,219 - INFO - Processing video n: 5/2554, blasto/D2015.03.21_S1247_I141_6
2025-04-04 20:30:28,612 - INFO - Processed frames D2015.03.21_S1247_I141_6 saved successfully
2025-04-04 20:30:29,326 - INFO - Processing video n: 6/2554, blasto/D2014.10.09_S1133_I141_12
2025-04-04 20:30:39,125 - INFO - Processed frames D2014.10.09_S1133_I141_12 saved successfully
2025-04-04 20:30:39,801 - INFO - Processing video n: 7/2554, blasto/D2018.11.17_S02129_I0141_D_9
2025-04-04 20:30:47,442 - INFO - Processed frames D2018.11.17_S02129_I0141_D_9 saved successfully
2025-04-04 20:30:48,142 - INFO - Processing video n: 8/2554, blasto/D2017.02.13_S1695_I141_9
2025-04-04 20:30:59,408 - INFO - Processed frames D2017.02.13_S1695_I141_9 saved successfully
2025-04-04 20:31:00,133 - INFO - Processing video n: 9/2554, blasto/D2018.02.24_S01968_I0141_D_1
2025-04-04 20:31:11,509 - INFO - Processed frames D2018.02.24_S01968_I0141_D_1 saved successfully
2025-04-04 20:31:12,166 - INFO - Processing video n: 10/2554, blasto/D2019.06.14_S02305_I0141_D_2
2025-04-04 20:31:23,475 - INFO - Processed frames D2019.06.14_S02305_I0141_D_2 saved successfully
2025-04-04 20:31:24,142 - INFO - Processing video n: 11/2554, blasto/D2019.06.28_S02316_I0141_D_7
2025-04-04 20:31:35,304 - INFO - Processed frames D2019.06.28_S02316_I0141_D_7 saved successfully
2025-04-04 20:31:35,973 - INFO - Processing video n: 12/2554, blasto/D2020.11.13_S02678_I0141_D_3
2025-04-04 20:31:47,188 - INFO - Processed frames D2020.11.13_S02678_I0141_D_3 saved successfully
2025-04-04 20:31:47,924 - INFO - Processing video n: 13/2554, blasto/D2015.03.28_S1251_I141_6
2025-04-04 20:31:57,946 - INFO - Processed frames D2015.03.28_S1251_I141_6 saved successfully
2025-04-04 20:31:58,604 - INFO - Processing video n: 14/2554, blasto/D2016.03.31_S1485_I141_5
2025-04-04 20:32:09,866 - INFO - Processed frames D2016.03.31_S1485_I141_5 saved successfully
2025-04-04 20:32:10,550 - INFO - Processing video n: 15/2554, blasto/D2018.09.17_S02085_I0141_D_6
2025-04-04 20:32:21,632 - INFO - Processed frames D2018.09.17_S02085_I0141_D_6 saved successfully
2025-04-04 20:32:22,299 - INFO - Processing video n: 16/2554, blasto/D2015.05.16_S1288_I141_11
2025-04-04 20:32:32,969 - INFO - Processed frames D2015.05.16_S1288_I141_11 saved successfully
2025-04-04 20:32:33,712 - INFO - Processing video n: 17/2554, blasto/D2014.12.24_S1192_I141_2
2025-04-04 20:32:45,020 - INFO - Processed frames D2014.12.24_S1192_I141_2 saved successfully
2025-04-04 20:32:45,699 - INFO - Processing video n: 18/2554, blasto/D2017.02.05_S1691_I141_2
2025-04-04 20:33:01,022 - INFO - Processed frames D2017.02.05_S1691_I141_2 saved successfully
2025-04-04 20:33:01,720 - INFO - Processing video n: 19/2554, blasto/D2018.04.23_S02020_I0141_D_9
2025-04-04 20:33:13,129 - INFO - Processed frames D2018.04.23_S02020_I0141_D_9 saved successfully
2025-04-04 20:33:13,804 - INFO - Processing video n: 20/2554, blasto/D2014.07.16_S1066_I141_5
2025-04-04 20:33:23,606 - INFO - Processed frames D2014.07.16_S1066_I141_5 saved successfully
2025-04-04 20:33:24,359 - INFO - Processing video n: 21/2554, blasto/D2015.03.21_S1247_I141_1
2025-04-04 20:33:35,552 - INFO - Processed frames D2015.03.21_S1247_I141_1 saved successfully
2025-04-04 20:33:36,226 - INFO - Processing video n: 22/2554, blasto/D2016.10.24_S1630_I141_11
2025-04-04 20:33:48,851 - INFO - Processed frames D2016.10.24_S1630_I141_11 saved successfully
2025-04-04 20:33:49,532 - INFO - Processing video n: 23/2554, blasto/D2019.02.22_S02216_I0141_D_12
2025-04-04 20:34:00,610 - INFO - Processed frames D2019.02.22_S02216_I0141_D_12 saved successfully
2025-04-04 20:34:01,338 - INFO - Processing video n: 24/2554, blasto/D2014.01.24_S0919_I141_5
2025-04-04 20:34:10,790 - INFO - Processed frames D2014.01.24_S0919_I141_5 saved successfully
2025-04-04 20:34:11,438 - INFO - Processing video n: 25/2554, blasto/D2018.12.17_S02165_I0141_D_10
2025-04-04 20:34:22,154 - INFO - Processed frames D2018.12.17_S02165_I0141_D_10 saved successfully
2025-04-04 20:34:22,829 - INFO - Processing video n: 26/2554, blasto/D2019.11.23_S02412_I0141_D_4
2025-04-04 20:34:32,512 - INFO - Processed frames D2019.11.23_S02412_I0141_D_4 saved successfully
