time_step,p_value,p_corr,signif
time_0,0.0001987808990619801,0.13358076416965062,False
time_1,9.459870923248115e-06,0.0063570332604227335,True
time_2,2.126707042274831e-08,1.4291471324086865e-05,True
time_3,8.185938188084943e-09,5.500950462393081e-06,True
time_4,7.097370940270208e-09,4.7694332718615804e-06,True
time_5,7.427206960270281e-10,4.991083077301628e-07,True
time_6,8.605820797743422e-10,5.78311157608358e-07,True
time_7,8.3205466721953e-07,0.0005591407363715242,True
time_8,2.9079732927539827e-05,0.019541580527306764,True
time_9,3.7457164573317124e-06,0.002517121459326911,True
time_10,1.3747185337127802e-05,0.009238108546549884,True
time_11,4.4203126845239965e-07,0.00029704501240001256,True
time_12,6.547766018655271e-07,0.00044000987645363416,True
time_13,4.362728654439667e-06,0.0029317536557834567,True
time_14,3.9944606010648134e-06,0.0026842775239155547,True
time_15,0.005112794866338941,1.0,False
time_16,0.003866595462552478,1.0,False
time_17,0.050753607181545535,1.0,False
time_18,0.16316885822420568,1.0,False
time_19,0.12623595797708245,1.0,False
time_20,0.5356200510631526,1.0,False
time_21,0.8190467434995997,1.0,False
time_22,0.33447961311409913,1.0,False
time_23,0.4169600470571583,1.0,False
time_24,0.2965628992453392,1.0,False
time_25,0.1857314687585746,1.0,False
time_26,0.10629372189195398,1.0,False
time_27,0.026551747159704663,1.0,False
time_28,0.10600669820573373,1.0,False
time_29,0.01976537884048928,1.0,False
time_30,0.006040219565118142,1.0,False
time_31,0.00015317850950005897,0.10293595838403963,False
time_32,0.00010394195239927664,0.0698489920123139,False
time_33,2.0202129470567785e-06,0.0013575831004221553,True
time_34,4.6576108965273744e-05,0.031299145224663955,True
time_35,8.727858732181109e-06,0.005865121068025705,True
time_36,2.730461138941669e-07,0.00018348698853688016,True
time_37,8.178075013790092e-06,0.005495666409266941,True
time_38,6.195424341324749e-07,0.0004163325157370232,True
time_39,1.5038812949066356e-07,0.00010106082301772591,True
time_40,3.633567788755709e-07,0.00024417575540438364,True
time_41,1.2352380560272995e-07,8.300799736503453e-05,True
time_42,2.5505682888603753e-06,0.0017139818901141723,True
time_43,1.2195820509008772e-05,0.008195591382053894,True
time_44,1.3324786275865756e-07,8.954256377381788e-05,True
time_45,9.674694173058393e-06,0.00650139448429524,True
time_46,3.1651711542924648e-06,0.002126995015684536,True
time_47,1.873588349981281e-05,0.012590513711874207,True
time_48,2.5443349562548965e-05,0.017097930906032906,True
time_49,6.706072467558274e-05,0.0450648069819916,True
time_50,1.1138331768821594e-05,0.007484958948648111,True
time_51,2.3667039551935364e-07,0.00015904250578900565,True
time_52,6.6278423576846005e-06,0.004453910064364052,True
time_53,1.5755446325974648e-06,0.0010587659931054964,True
time_54,8.144570444831517e-06,0.00547315133892678,True
time_55,4.5449993227361764e-05,0.030542395448787105,True
time_56,2.8738257370535257e-06,0.0019312108952999692,True
time_57,5.5735609969631744e-05,0.037454329899592534,True
time_58,1.58551171208168e-05,0.01065463870518889,True
time_59,5.177467523675582e-06,0.003479258175909991,True
time_60,1.2861617223951327e-06,0.0008643006774495292,True
time_61,2.203327710326747e-05,0.01480636221339574,True
time_62,0.00023697274002599435,0.1592456812974682,False
time_63,0.006081241366080617,1.0,False
time_64,0.0019032062962672318,1.0,False
time_65,5.12069381794376e-05,0.03441106245658206,True
time_66,0.01577331473587081,1.0,False
time_67,0.001664690296631065,1.0,False
time_68,0.049287466568786374,1.0,False
time_69,0.3024837385503182,1.0,False
time_70,0.28930974720034575,1.0,False
time_71,0.796336153761328,1.0,False
time_72,0.47764519879947065,1.0,False
time_73,0.8468521701041678,1.0,False
time_74,0.11977958847379762,1.0,False
time_75,0.001825599467452749,1.0,False
time_76,8.255480920080778e-05,0.05547683178294283,False
time_77,1.3354577039378814e-06,0.0008974275770462563,True
time_78,3.6654496472439603e-10,2.4631821629479413e-07,True
time_79,1.4692465833081552e-13,9.873337039830803e-11,True
time_80,6.123214586223586e-20,4.11480020194225e-17,True
time_81,1.617283644523249e-20,1.0868146091196235e-17,True
time_82,6.827756393243037e-24,4.588252296259321e-21,True
time_83,5.342447709658384e-27,3.5901248608904345e-24,True
time_84,6.1184893024361005e-33,4.1116248112370595e-30,True
time_85,1.8808063005068913e-29,1.263901833940631e-26,True
time_86,8.108908192487397e-39,5.4491863053515306e-36,True
time_87,8.70623961335303e-41,5.850593020173236e-38,True
time_88,3.271206016940657e-50,2.1982504433841214e-47,True
time_89,1.3040359027954999e-53,8.76312126678576e-51,True
time_90,4.642375961052741e-59,3.119676645827442e-56,True
time_91,4.7471846987239494e-64,3.190108117542494e-61,True
time_92,1.261802168672385e-66,8.479310573478426e-64,True
time_93,4.188828924444818e-70,2.8148930372269177e-67,True
time_94,9.45227048471819e-70,6.351925765730625e-67,True
time_95,2.536159380091003e-79,1.704299103421154e-76,True
time_96,1.1230341359334746e-72,7.54678939347295e-70,True
