time_step,p_value,p_corr,signif
time_0,0.0001987808990619801,0.01908296630995009,False
time_1,9.459870923248115e-06,0.000908147608631819,True
time_2,2.126707042274831e-08,2.041638760583838e-06,True
time_3,8.185938188084943e-09,7.858500660561546e-07,True
time_4,7.097370940270208e-09,6.8134761026594e-07,True
time_5,7.427206960270281e-10,7.130118681859469e-08,True
time_6,8.605820797743422e-10,8.261587965833685e-08,True
time_7,8.3205466721953e-07,7.987724805307489e-05,True
time_8,2.9079732927539827e-05,0.0027916543610438235,True
time_9,3.7457164573317124e-06,0.0003595887799038444,True
time_10,1.3747185337127802e-05,0.001319729792364269,True
time_11,4.4203126845239965e-07,4.243500177143037e-05,True
time_12,6.547766018655271e-07,6.285855377909059e-05,True
time_13,4.362728654439667e-06,0.00041882195082620807,True
time_14,3.9944606010648134e-06,0.0003834682177022221,True
time_15,0.005112794866338941,0.4908283071685383,False
time_16,0.003866595462552478,0.3711931644050379,False
time_17,0.050753607181545535,1.0,False
time_18,0.16316885822420568,1.0,False
time_19,0.12623595797708245,1.0,False
time_20,0.5356200510631526,1.0,False
time_21,0.8190467434995997,1.0,False
time_22,0.33447961311409913,1.0,False
time_23,0.4169600470571583,1.0,False
time_24,0.2965628992453392,1.0,False
time_25,0.1857314687585746,1.0,False
time_26,0.10629372189195398,1.0,False
time_27,0.026551747159704663,1.0,False
time_28,0.10600669820573373,1.0,False
time_29,0.01976537884048928,1.0,False
time_30,0.006040219565118142,0.5798610782513416,False
time_31,0.00015317850950005897,0.01470513691200566,False
time_32,0.00010394195239927664,0.009978427430330557,True
time_33,2.0202129470567785e-06,0.00019394044291745074,True
time_34,4.6576108965273744e-05,0.004471306460666279,True
time_35,8.727858732181109e-06,0.0008378744382893865,True
time_36,2.730461138941669e-07,2.6212426933840022e-05,True
time_37,8.178075013790092e-06,0.0007850952013238488,True
time_38,6.195424341324749e-07,5.94760736767176e-05,True
time_39,1.5038812949066356e-07,1.4437260431103702e-05,True
time_40,3.633567788755709e-07,3.488225077205481e-05,True
time_41,1.2352380560272995e-07,1.1858285337862076e-05,True
time_42,2.5505682888603753e-06,0.00024485455573059606,True
time_43,1.2195820509008772e-05,0.001170798768864842,True
time_44,1.3324786275865756e-07,1.2791794824831125e-05,True
time_45,9.674694173058393e-06,0.0009287706406136058,True
time_46,3.1651711542924648e-06,0.00030385643081207663,True
time_47,1.873588349981281e-05,0.0017986448159820296,True
time_48,2.5443349562548965e-05,0.002442561558004701,True
time_49,6.706072467558274e-05,0.006437829568855942,True
time_50,1.1138331768821594e-05,0.0010692798498068731,True
time_51,2.3667039551935364e-07,2.272035796985795e-05,True
time_52,6.6278423576846005e-06,0.0006362728663377216,True
time_53,1.5755446325974648e-06,0.00015125228472935662,True
time_54,8.144570444831517e-06,0.0007818787627038256,True
time_55,4.5449993227361764e-05,0.004363199349826729,True
time_56,2.8738257370535257e-06,0.00027588727075713844,True
time_57,5.5735609969631744e-05,0.005350618557084647,True
time_58,1.58551171208168e-05,0.0015220912435984126,True
time_59,5.177467523675582e-06,0.0004970368822728559,True
time_60,1.2861617223951327e-06,0.00012347152534993274,True
time_61,2.203327710326747e-05,0.0021151946019136772,True
time_62,0.00023697274002599435,0.022749383042495457,False
time_63,0.006081241366080617,0.5837991711437391,False
time_64,0.0019032062962672318,0.18270780444165424,False
time_65,5.12069381794376e-05,0.004915866065226009,True
time_66,0.01577331473587081,1.0,False
time_67,0.001664690296631065,0.15981026847658222,False
time_68,0.049287466568786374,1.0,False
time_69,0.3024837385503182,1.0,False
time_70,0.28930974720034575,1.0,False
time_71,0.796336153761328,1.0,False
time_72,0.47764519879947065,1.0,False
time_73,0.8468521701041678,1.0,False
time_74,0.11977958847379762,1.0,False
time_75,0.001825599467452749,0.1752575488754639,False
time_76,8.255480920080778e-05,0.007925261683277547,True
time_77,1.3354577039378814e-06,0.00012820393957803662,True
time_78,3.6654496472439603e-10,3.518831661354202e-08,True
time_79,1.4692465833081552e-13,1.410476719975829e-11,True
time_80,6.123214586223586e-20,5.878286002774643e-18,True
time_81,1.617283644523249e-20,1.552592298742319e-18,True
time_82,6.827756393243037e-24,6.554646137513316e-22,True
time_83,5.342447709658384e-27,5.128749801272049e-25,True
time_84,6.1184893024361005e-33,5.873749730338656e-31,True
time_85,1.8808063005068913e-29,1.8055740484866156e-27,True
time_86,8.108908192487397e-39,7.784551864787901e-37,True
time_87,8.70623961335303e-41,8.357990028818909e-39,True
time_88,3.271206016940657e-50,3.140357776263031e-48,True
time_89,1.3040359027954999e-53,1.2518744666836799e-51,True
time_90,4.642375961052741e-59,4.4566809226106315e-57,True
time_91,4.7471846987239494e-64,4.557297310774991e-62,True
time_92,1.261802168672385e-66,1.2113300819254895e-64,True
time_93,4.188828924444818e-70,4.021275767467025e-68,True
time_94,9.45227048471819e-70,9.074179665329463e-68,True
time_95,2.536159380091003e-79,2.434713004887363e-77,True
