time_step,p_value,p_corr,signif
time_0,0.10666666666666667,1.0,False
time_1,0.13333333333333333,1.0,False
time_2,0.06,1.0,False
time_3,0.013333333333333334,1.0,False
time_4,0.02666666666666667,1.0,False
time_5,0.06,1.0,False
time_6,0.06,1.0,False
time_7,0.06,1.0,False
time_8,0.02666666666666667,1.0,False
time_9,0.006666666666666667,0.8533333333333334,False
time_10,0.013333333333333334,1.0,False
time_11,0.013333333333333334,1.0,False
time_12,0.02666666666666667,1.0,False
time_13,0.02666666666666667,1.0,False
time_14,0.02666666666666667,1.0,False
time_15,0.06,1.0,False
time_16,0.06,1.0,False
time_17,0.06,1.0,False
time_18,0.06,1.0,False
time_19,0.06,1.0,False
time_20,0.06,1.0,False
time_21,0.06,1.0,False
time_22,0.06,1.0,False
time_23,0.06,1.0,False
time_24,0.06,1.0,False
time_25,0.06,1.0,False
time_26,0.06,1.0,False
time_27,0.06,1.0,False
time_28,0.06,1.0,False
time_29,0.06,1.0,False
time_30,0.06,1.0,False
time_31,0.06,1.0,False
time_32,0.06,1.0,False
time_33,0.10666666666666667,1.0,False
time_34,0.13333333333333333,1.0,False
time_35,0.10666666666666667,1.0,False
time_36,0.10666666666666667,1.0,False
time_37,0.10666666666666667,1.0,False
time_38,0.10666666666666667,1.0,False
time_39,0.10666666666666667,1.0,False
time_40,0.10666666666666667,1.0,False
time_41,0.13333333333333333,1.0,False
time_42,0.13333333333333333,1.0,False
time_43,0.10666666666666667,1.0,False
time_44,0.10666666666666667,1.0,False
time_45,0.10666666666666667,1.0,False
time_46,0.10666666666666667,1.0,False
time_47,0.13333333333333333,1.0,False
time_48,0.13333333333333333,1.0,False
time_49,0.13333333333333333,1.0,False
time_50,0.13333333333333333,1.0,False
time_51,0.10666666666666667,1.0,False
time_52,0.08,1.0,False
time_53,0.10666666666666667,1.0,False
time_54,0.08,1.0,False
time_55,0.10666666666666667,1.0,False
time_56,0.08,1.0,False
time_57,0.10666666666666667,1.0,False
time_58,0.24,1.0,False
time_59,0.32666666666666666,1.0,False
time_60,0.37333333333333335,1.0,False
time_61,0.27999999999999997,1.0,False
time_62,0.24,1.0,False
time_63,0.19999999999999998,1.0,False
time_64,0.4266666666666667,1.0,False
time_65,0.54,1.0,False
time_66,0.8800000000000001,1.0,False
time_67,0.9600000000000001,1.0,False
time_68,0.9600000000000001,1.0,False
time_69,1.0,1.0,False
time_70,0.6666666666666667,1.0,False
time_71,0.54,1.0,False
time_72,0.37333333333333335,1.0,False
time_73,0.37333333333333335,1.0,False
time_74,0.7333333333333334,1.0,False
time_75,0.8800000000000001,1.0,False
time_76,0.9600000000000001,1.0,False
time_77,1.0,1.0,False
time_78,0.8800000000000001,1.0,False
time_79,0.8066666666666668,1.0,False
time_80,0.8066666666666668,1.0,False
time_81,1.0,1.0,False
time_82,0.8066666666666668,1.0,False
time_83,0.9600000000000001,1.0,False
time_84,0.9600000000000001,1.0,False
time_85,0.9600000000000001,1.0,False
time_86,0.9600000000000001,1.0,False
time_87,0.8800000000000001,1.0,False
time_88,1.0,1.0,False
time_89,0.8066666666666668,1.0,False
time_90,0.8066666666666668,1.0,False
time_91,0.6666666666666667,1.0,False
time_92,0.9600000000000001,1.0,False
time_93,1.0,1.0,False
time_94,0.9600000000000001,1.0,False
time_95,0.9600000000000001,1.0,False
time_96,0.8066666666666668,1.0,False
time_97,0.8066666666666668,1.0,False
time_98,0.9600000000000001,1.0,False
time_99,1.0,1.0,False
time_100,0.6666666666666667,1.0,False
time_101,0.6666666666666667,1.0,False
time_102,0.54,1.0,False
time_103,0.6666666666666667,1.0,False
time_104,0.7333333333333334,1.0,False
time_105,0.7333333333333334,1.0,False
time_106,0.6666666666666667,1.0,False
time_107,0.6000000000000001,1.0,False
time_108,0.54,1.0,False
time_109,0.48000000000000004,1.0,False
time_110,0.4266666666666667,1.0,False
time_111,0.27999999999999997,1.0,False
time_112,0.32666666666666666,1.0,False
time_113,0.24,1.0,False
time_114,0.16666666666666666,1.0,False
time_115,0.19999999999999998,1.0,False
time_116,0.10666666666666667,1.0,False
time_117,0.13333333333333333,1.0,False
time_118,0.19999999999999998,1.0,False
time_119,0.24,1.0,False
time_120,0.32666666666666666,1.0,False
time_121,0.13333333333333333,1.0,False
time_122,0.013333333333333334,1.0,False
time_123,0.013333333333333334,1.0,False
time_124,0.013333333333333334,1.0,False
time_125,0.04,1.0,False
time_126,0.04,1.0,False
time_127,0.10666666666666667,1.0,False
