time_step,p_value,p_corr,signif
time_0,0.049454747411874285,1.0,False
time_1,0.07104033987607221,1.0,False
time_2,0.04326784929217073,1.0,False
time_3,0.09980722926798015,1.0,False
time_4,0.2855868549602545,1.0,False
time_5,0.2901062680804156,1.0,False
time_6,0.3689414729092293,1.0,False
time_7,0.3814609497177941,1.0,False
time_8,0.3515057384337773,1.0,False
time_9,0.36717407291821724,1.0,False
time_10,0.7310175697538773,1.0,False
time_11,0.7111261786363987,1.0,False
time_12,0.8071315941054958,1.0,False
time_13,0.8226022323573084,1.0,False
time_14,0.4619097389218001,1.0,False
time_15,0.4803046890595961,1.0,False
time_16,0.46393400073800717,1.0,False
time_17,0.61248861271638,1.0,False
time_18,0.6646864523838636,1.0,False
time_19,0.7536129311136226,1.0,False
time_20,0.8303638960006177,1.0,False
time_21,0.5893770108155351,1.0,False
time_22,0.5356170879878219,1.0,False
time_23,0.2209665346926626,1.0,False
time_24,0.14073151409646212,1.0,False
time_25,0.16756471960191344,1.0,False
time_26,0.21231963766364315,1.0,False
time_27,0.28260049106218765,1.0,False
time_28,0.33294009816618686,1.0,False
time_29,0.44787879991816393,1.0,False
time_30,0.6171585967902982,1.0,False
time_31,0.9035059380769427,1.0,False
time_32,0.8667923211570275,1.0,False
time_33,0.8641799230084454,1.0,False
time_34,0.9589408065099349,1.0,False
time_35,0.9668826340819858,1.0,False
time_36,0.8667923211570275,1.0,False
time_37,0.9774767132987501,1.0,False
time_38,0.9695306790994693,1.0,False
time_39,0.8329548394900029,1.0,False
time_40,0.7764212834032486,1.0,False
time_41,0.8694061751409834,1.0,False
time_42,0.8694061751409834,1.0,False
time_43,0.7285209092648095,1.0,False
time_44,0.4990918485667766,1.0,False
time_45,0.4243983973811475,1.0,False
time_46,0.3118307963664173,1.0,False
time_47,0.3566807964657803,1.0,False
time_48,0.3689414729092293,1.0,False
time_49,0.43604748624912404,1.0,False
time_50,0.5075653283126427,1.0,False
time_51,0.7789678914022341,1.0,False
time_52,0.7917360381222692,1.0,False
time_53,0.9668826340819858,1.0,False
time_54,0.9721790600953026,1.0,False
time_55,0.7510914831291993,1.0,False
time_56,0.9721790600953026,1.0,False
time_57,0.7536129311136226,1.0,False
time_58,0.9668826340819858,1.0,False
time_59,0.7360194235434,1.0,False
time_60,0.5848033911666104,1.0,False
time_61,0.4803046890595961,1.0,False
time_62,0.8589596061420819,1.0,False
time_63,0.7260271254189602,1.0,False
time_64,0.4969852833206255,1.0,False
time_65,0.5378068254494461,1.0,False
time_66,0.6055130975907931,1.0,False
time_67,0.9721790600953026,1.0,False
time_68,0.9245833620690305,1.0,False
time_69,0.655064347160494,1.0,False
time_70,0.4844460140142046,1.0,False
time_71,0.4823729357977855,1.0,False
time_72,0.6574645883418008,1.0,False
time_73,0.4700363254943928,1.0,False
time_74,0.5689271286250048,1.0,False
time_75,0.7235362423818423,1.0,False
time_76,0.6031958580243924,1.0,False
time_77,0.6194994234907248,1.0,False
time_78,0.47208024495914547,1.0,False
time_79,0.14162922320383692,1.0,False
time_80,0.2197160377731483,1.0,False
time_81,0.31822987873707453,1.0,False
time_82,0.5466104820876766,1.0,False
time_83,0.8122804160551744,1.0,False
time_84,0.9510030519843168,1.0,False
time_85,0.9615876686386517,1.0,False
time_86,0.9536484690776529,1.0,False
time_87,0.9536484690776529,1.0,False
time_88,0.9298615889940092,1.0,False
time_89,0.9642349542100175,1.0,False
time_90,0.7738770763588425,1.0,False
time_91,0.6407383724046182,1.0,False
time_92,0.33294009816618686,1.0,False
time_93,0.1655289424985965,1.0,False
time_94,0.255285947478074,1.0,False
time_95,0.305517123264084,1.0,False
time_96,0.33626772598470733,1.0,False
time_97,0.4243983973811475,1.0,False
time_98,0.45586663696716634,1.0,False
time_99,0.58024634170321,1.0,False
time_100,0.8589596061420819,1.0,False
time_101,0.9536484690776529,1.0,False
time_102,0.9668826340819858,1.0,False
time_103,0.9166723151258449,1.0,False
time_104,0.7942965062386915,1.0,False
time_105,0.7310175697538773,1.0,False
time_106,0.7037164763596624,1.0,False
time_107,0.8511407478417317,1.0,False
time_108,0.9907246823271877,1.0,False
time_109,0.9642349542100175,1.0,False
time_110,0.8641799230084454,1.0,False
time_111,0.708653202723228,1.0,False
time_112,0.8459362445581752,1.0,False
time_113,0.9219454784641179,1.0,False
time_114,0.8071315941054958,1.0,False
time_115,0.7840682067666975,1.0,False
time_116,0.6407383724046182,1.0,False
time_117,0.5962681975583854,1.0,False
time_118,0.9298615889940092,1.0,False
time_119,0.708653202723228,1.0,False
time_120,0.5290749391919695,1.0,False
time_121,0.346378500709164,1.0,False
time_122,0.20273992736849966,1.0,False
time_123,0.27231534045600225,1.0,False
time_124,0.3636551340644083,1.0,False
time_125,0.40352069318351613,1.0,False
time_126,0.39608395298792787,1.0,False
time_127,0.5054399012333128,1.0,False
