time_step,p_value,p_corr,signif
time_0,0.658950687056687,1.0,False
time_1,0.6288139697538746,1.0,False
time_2,0.42043808251319825,1.0,False
time_3,0.2098312603074245,1.0,False
time_4,0.35874794258573695,1.0,False
time_5,0.3164293282936541,1.0,False
time_6,0.4367821904952697,1.0,False
time_7,0.2901153915672121,1.0,False
time_8,0.11495803075019292,1.0,False
time_9,0.3097084406061559,1.0,False
time_10,0.19982420559479264,1.0,False
time_11,0.2477020025677923,1.0,False
time_12,0.3301561049074211,1.0,False
time_13,0.2775269886764944,1.0,False
time_14,0.3030825346320434,1.0,False
time_15,0.27137437681928256,1.0,False
time_16,0.23092342152923861,1.0,False
time_17,0.17190080256515994,1.0,False
time_18,0.11176592641692673,1.0,False
time_19,0.0996913791414593,1.0,False
time_20,0.11495803075019292,1.0,False
time_21,0.12844862523438091,1.0,False
time_22,0.11495803075019292,1.0,False
time_23,0.1320064403417921,1.0,False
time_24,0.1320064403417921,1.0,False
time_25,0.15908485185756438,1.0,False
time_26,0.2047832856073427,1.0,False
time_27,0.1549776007086379,1.0,False
time_28,0.2149687145103103,1.0,False
time_29,0.10559178869692673,1.0,False
time_30,0.10559178869692673,1.0,False
time_31,0.09405698818408667,1.0,False
time_32,0.06337887504065537,1.0,False
time_33,0.07402372500197182,1.0,False
time_34,0.06337887504065537,1.0,False
time_35,0.05580309419622807,1.0,False
time_36,0.12844862523438091,1.0,False
time_37,0.12155703069004117,1.0,False
time_38,0.19982420559479264,1.0,False
time_39,0.24201684820777858,1.0,False
time_40,0.16754566929480041,1.0,False
time_41,0.11495803075019292,1.0,False
time_42,0.1356401385400234,1.0,False
time_43,0.15095138218370321,1.0,False
time_44,0.15095138218370321,1.0,False
time_45,0.15908485185756438,1.0,False
time_46,0.15095138218370321,1.0,False
time_47,0.08355514136166532,1.0,False
time_48,0.07178516290411188,1.0,False
time_49,0.05062974169596472,1.0,False
time_50,0.029347361830715464,1.0,False
time_51,0.026362931522293135,1.0,False
time_52,0.02452227579504086,1.0,False
time_53,0.03040474476914951,1.0,False
time_54,0.02279403057614208,1.0,False
time_55,0.028321770533155415,1.0,False
time_56,0.02364445560404286,1.0,False
time_57,0.02279403057614208,1.0,False
time_58,0.011436313607700376,1.0,False
time_59,0.03876273613646384,1.0,False
time_60,0.027327210288265333,1.0,False
time_61,0.03496778356965737,1.0,False
time_62,0.2149687145103103,1.0,False
time_63,0.07867204500033356,1.0,False
time_64,0.08868084564475591,1.0,False
time_65,0.1808643023477443,1.0,False
time_66,0.16327394403299622,1.0,False
time_67,0.0968414157993296,1.0,False
time_68,0.5799523052709878,1.0,False
time_69,0.35874794258573695,1.0,False
time_70,0.19982420559479264,1.0,False
time_71,0.41240257187510676,1.0,False
time_72,0.2364241288288632,1.0,False
time_73,0.2364241288288632,1.0,False
time_74,0.689651649115891,1.0,False
time_75,0.4792055409148772,1.0,False
time_76,0.5515167175920226,1.0,False
time_77,0.5992833431982423,1.0,False
time_78,0.3301561049074211,1.0,False
time_79,0.2837739265772826,1.0,False
time_80,0.3371619282868309,1.0,False
time_81,0.17634010083144613,1.0,False
time_82,0.12844862523438091,1.0,False
time_83,0.10260784807867694,1.0,False
time_84,0.08108375685052753,1.0,False
time_85,0.18547412583580125,1.0,False
time_86,0.27137437681928256,1.0,False
time_87,0.3661322358417973,1.0,False
time_88,0.38118283081295323,1.0,False
time_89,0.589581297048503,1.0,False
time_90,0.589581297048503,1.0,False
time_91,0.45348635075687804,1.0,False
time_92,0.45348635075687804,1.0,False
time_93,0.4285648146572074,1.0,False
time_94,0.3371619282868309,1.0,False
time_95,0.7208722159437613,1.0,False
time_96,0.927433177768841,1.0,False
time_97,0.8830366829832292,1.0,False
time_98,0.6387942058321576,1.0,False
time_99,0.6189011014769688,1.0,False
time_100,0.7000030522868951,1.0,False
time_101,0.7954710442509366,1.0,False
time_102,0.905197889754277,1.0,False
time_103,0.5515167175920226,1.0,False
time_104,0.47054509463772853,1.0,False
time_105,0.5609187489100784,1.0,False
time_106,0.2965515503419509,1.0,False
time_107,0.45348635075687804,1.0,False
time_108,0.2149687145103103,1.0,False
time_109,0.23092342152923861,1.0,False
time_110,0.3030825346320434,1.0,False
time_111,0.3888485166477227,1.0,False
time_112,0.2149687145103103,1.0,False
time_113,0.08108375685052753,1.0,False
time_114,0.08108375685052753,1.0,False
time_115,0.015649689834045143,1.0,False
time_116,0.012382451525340479,1.0,False
time_117,0.006425526161672305,0.822467348694055,False
time_118,0.011436313607700376,1.0,False
time_119,0.01393172974183655,1.0,False
time_120,0.01965258951471905,1.0,False
time_121,0.021970307486772474,1.0,False
time_122,0.01098775886302069,1.0,False
time_123,0.00729207301134107,0.933385345451657,False
time_124,0.008610162150062103,1.0,False
time_125,0.015057386752542232,1.0,False
time_126,0.02452227579504086,1.0,False
time_127,0.07402372500197182,1.0,False
