time_step,p_value,p_corr,signif
time_0,3.732084298849834e-09,3.5828009268958405e-07,True
time_1,1.098279545021103e-09,1.0543483632202589e-07,True
time_2,6.865741145002864e-10,6.59111149920275e-08,True
time_3,7.533126426270512e-10,7.231801369219692e-08,True
time_4,2.5169482698392288e-09,2.41627033904566e-07,True
time_5,4.036628922811231e-08,3.875163765898782e-06,True
time_6,4.3703880266726254e-07,4.19557250560572e-05,True
time_7,7.996530637392348e-06,0.0007676669411896654,True
time_8,3.1643688229410035e-06,0.00030377940700233635,True
time_9,1.4668039873913064e-06,0.0001408131827895654,True
time_10,1.2408081250168705e-06,0.00011911758000161957,True
time_11,1.946518660390634e-06,0.00018686579139750087,True
time_12,1.8646977494767713e-05,0.0017901098394977003,True
time_13,0.00025144204198567817,0.024138436030625106,False
time_14,0.0038684291469035046,0.37136919810273644,False
time_15,0.03377433742616688,1.0,False
time_16,0.1259055390905056,1.0,False
time_17,0.2010861112362612,1.0,False
time_18,0.42207867446598557,1.0,False
time_19,0.7945646413710526,1.0,False
time_20,0.7371154045749759,1.0,False
time_21,0.3573636372940424,1.0,False
time_22,0.20249252281984986,1.0,False
time_23,0.153735681627124,1.0,False
time_24,0.07144384744942926,1.0,False
time_25,0.05492921469532417,1.0,False
time_26,0.030913707672712842,1.0,False
time_27,0.014529090029845558,1.0,False
time_28,0.0051446455708255324,0.4938859747992511,False
time_29,0.0005189750823735228,0.04982160790785819,False
time_30,4.954304960922146e-05,0.00475613276248526,True
time_31,1.2658208183820028e-05,0.0012151879856467226,True
time_32,8.858357921438785e-06,0.0008504023604581233,True
time_33,1.169909216251446e-06,0.00011231128476013881,True
time_34,8.590645478029207e-07,8.24701965890804e-05,True
time_35,3.2962852504336376e-07,3.1644338404162925e-05,True
time_36,1.6066821086154793e-07,1.5424148242708602e-05,True
time_37,2.0073704620699628e-07,1.9270756435871643e-05,True
time_38,6.200087840402617e-08,5.952084326786513e-06,True
time_39,1.0420264789190237e-07,1.0003454197622628e-05,True
time_40,3.979184642554204e-07,3.820017256852036e-05,True
time_41,1.2878320118689865e-07,1.236318731394227e-05,True
time_42,6.209773073142216e-07,5.961382150216527e-05,True
time_43,6.348426804813709e-07,6.0944897326211604e-05,True
time_44,7.057809968032721e-07,6.775497569311413e-05,True
time_45,9.459870910076732e-06,0.0009081476073673662,True
time_46,9.509694455652582e-06,0.0009129306677426478,True
time_47,1.5365774799497973e-05,0.0014751143807518055,True
time_48,7.3396356566111255e-06,0.000704605023034668,True
time_49,4.955811439061677e-06,0.000475757898149921,True
time_50,3.7367004315893114e-06,0.0003587232414325739,True
time_51,4.052026020456036e-06,0.00038899449796377946,True
time_52,8.412230087350983e-06,0.0008075740883856944,True
time_53,6.926111844592069e-06,0.0006649067370808387,True
time_54,2.8942708967960613e-06,0.0002778500060924219,True
time_55,6.08831506351963e-06,0.0005844782460978845,True
time_56,3.6802568101960064e-06,0.0003533046537788166,True
time_57,1.1964547300056952e-06,0.00011485965408054674,True
time_58,7.147188006888628e-07,6.861300486613083e-05,True
time_59,1.7888868830593377e-06,0.00017173314077369641,True
time_60,3.635582614436109e-05,0.003490159309858665,True
time_61,0.0006022170221768622,0.057812834128978766,False
time_62,0.0019096921121715452,0.18333044276846833,False
time_63,0.003764355535380365,0.36137813139651503,False
time_64,0.0023150858007715625,0.22224823687407,False
time_65,0.00467617038140798,0.4489123566151661,False
time_66,0.013826721114610297,1.0,False
time_67,0.06955044972660956,1.0,False
time_68,0.3488876642420695,1.0,False
time_69,0.9983939817698416,1.0,False
time_70,0.9572349519744273,1.0,False
time_71,0.55447438446434,1.0,False
time_72,0.1621387179136322,1.0,False
time_73,0.028023121226384177,1.0,False
time_74,0.00014127782809518531,0.013562671497137791,False
time_75,9.794999812406606e-07,9.403199819910342e-05,True
time_76,5.1461168498645825e-09,4.94027217587e-07,True
time_77,4.112356130395661e-12,3.9478618851798343e-10,True
time_78,5.1762636630317184e-17,4.96921311651045e-15,True
time_79,3.0711380967565256e-20,2.9482925728862646e-18,True
time_80,3.1748652659922746e-25,3.0478706553525835e-23,True
time_81,3.3465680195021294e-28,3.2127052987220444e-26,True
time_82,4.275147872130618e-31,4.104141957245393e-29,True
time_83,4.322307090901861e-36,4.1494148072657865e-34,True
time_84,2.5630524125906585e-39,2.4605303160870322e-37,True
time_85,5.636264993304943e-45,5.410814393572745e-43,True
time_86,4.570613236059265e-53,4.387788706616894e-51,True
time_87,7.808481151352086e-60,7.496141905298002e-58,True
time_88,1.608090391844378e-66,1.543766776170603e-64,True
time_89,3.5898346468390713e-71,3.4462412609655085e-69,True
time_90,1.053206965430548e-74,1.011078686813326e-72,True
time_91,1.6563248912420788e-76,1.5900718955923955e-74,True
time_92,2.7036073721469333e-81,2.595463077261056e-79,True
time_93,1.4621329605628025e-83,1.4036476421402903e-81,True
time_94,1.3263234004298037e-82,1.2732704644126116e-80,True
time_95,3.4542670311884916e-81,3.316096349940952e-79,True
