dish_well,day1_meets,day1_details,day1_true,day3_meets,day3_details,day3_true,day5_meets,day5_details,day5_true,selected_final
D2013.06.22_S0792_I141_1,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2013.06.22_S0792_I141_2,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2013.06.22_S0792_I141_3,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2013.06.22_S0792_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2013.06.22_S0792_I141_7,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2013.06.22_S0792_I141_8,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2013.06.22_S0795_I141_1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2013.06.22_S0795_I141_2,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2013.06.22_S0795_I141_3,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.06.22_S0795_I141_5,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2013.10.18_S0856_I141_1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False,Pk:False|Corr:False|Conf:True,1,False
D2013.10.18_S0856_I141_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2013.10.18_S0856_I141_3,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2013.10.18_S0856_I141_5,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2013.11.13_S0878_I141_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2013.11.13_S0878_I141_2,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2013.11.13_S0878_I141_3,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2013.11.13_S0878_I141_4,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.12.02_S0891_I141_1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.12.02_S0891_I141_10,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2013.12.02_S0891_I141_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2013.12.02_S0891_I141_3,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2013.12.02_S0891_I141_6,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2013.12.02_S0891_I141_7,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2013.12.02_S0891_I141_8,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False
D2013.12.02_S0891_I141_9,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False
D2013.12.09_S0897_I141_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False
D2013.12.09_S0897_I141_10,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2013.12.09_S0897_I141_2,False,Pk:False|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.12.09_S0897_I141_3,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False
D2013.12.09_S0897_I141_4,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2013.12.09_S0897_I141_5,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.12.09_S0897_I141_6,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.12.09_S0897_I141_7,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2013.12.09_S0897_I141_9,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2014.01.18_S0914_I141_1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2014.01.18_S0914_I141_10,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False
D2014.01.18_S0914_I141_2,False,Pk:True|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2014.01.18_S0914_I141_3,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.01.18_S0914_I141_4,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.01.18_S0914_I141_5,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.01.18_S0914_I141_6,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.01.18_S0914_I141_8,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.01.30_S0925_I141_2,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2014.01.30_S0925_I141_4,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:True,0,False
D2014.01.30_S0925_I141_5,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2014.01.30_S0925_I141_6,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False
D2014.02.22_S0946_I141_1,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.02.22_S0946_I141_10,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False
D2014.02.22_S0946_I141_11,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.02.22_S0946_I141_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2014.02.22_S0946_I141_3,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.02.22_S0946_I141_4,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2014.02.22_S0946_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.02.22_S0946_I141_6,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.02.22_S0946_I141_7,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:False|Conf:True,1,False
D2014.02.22_S0946_I141_8,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False
D2014.02.22_S0946_I141_9,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.04.05_S0982_I141_1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False
D2014.04.05_S0982_I141_10,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2014.04.05_S0982_I141_11,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.04.05_S0982_I141_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.04.05_S0982_I141_3,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2014.04.05_S0982_I141_4,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2014.04.05_S0982_I141_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False
D2014.04.05_S0982_I141_8,False,Pk:False|Corr:False|Conf:True,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2014.04.05_S0982_I141_9,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False
D2014.06.13_S1038_I141_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2014.06.13_S1038_I141_10,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False
D2014.06.13_S1038_I141_11,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.06.13_S1038_I141_12,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2014.06.13_S1038_I141_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2014.06.13_S1038_I141_3,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:False|Conf:True,1,False
D2014.06.13_S1038_I141_4,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.06.13_S1038_I141_5,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.06.13_S1038_I141_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.06.13_S1038_I141_7,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.06.13_S1038_I141_8,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False
D2014.06.13_S1038_I141_9,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.06.16_S1042_I141_1,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.06.16_S1042_I141_3,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2014.06.16_S1042_I141_4,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.07.28_S1086_I141_1,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2014.07.28_S1086_I141_12,False,Pk:True|Corr:False|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.07.28_S1086_I141_3,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2014.07.28_S1086_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:True,0,False
D2014.07.28_S1086_I141_6,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False
D2014.07.28_S1086_I141_8,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.07.28_S1086_I141_9,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.09.06_S1091_I141_1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_10,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_11,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_12,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_2,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_3,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_4,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:True,0,False
D2014.09.06_S1091_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False
D2014.09.06_S1091_I141_6,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2014.09.06_S1091_I141_8,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.06_S1091_I141_9,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.09.25_S1120_I141_1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:True,1,False
D2014.09.25_S1120_I141_2,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.25_S1120_I141_3,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.25_S1120_I141_4,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.09.25_S1120_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.09.25_S1120_I141_6,False,Pk:False|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.09.25_S1120_I141_7,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2014.09.25_S1120_I141_8,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.10.01_S1126_I141_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False
D2014.10.01_S1126_I141_2,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.10.01_S1126_I141_4,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.10.01_S1126_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.10.01_S1126_I141_7,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2014.10.01_S1126_I141_8,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2014.12.22_S1190_I141_1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:False|Conf:False,1,False
D2014.12.22_S1190_I141_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2014.12.24_S1191_I141_1,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.12.24_S1191_I141_2,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2014.12.24_S1191_I141_3,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False
D2014.12.24_S1191_I141_5,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2014.12.24_S1191_I141_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2015.01.03_S1195_I141_1,False,Pk:True|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2015.01.03_S1195_I141_2,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False
D2015.01.03_S1195_I141_3,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2015.01.03_S1195_I141_4,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False
D2015.01.03_S1195_I141_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False
D2015.01.03_S1195_I141_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2015.01.15_S1202_I141_1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2015.01.15_S1202_I141_3,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2015.01.15_S1202_I141_4,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False,Pk:True|Corr:False|Conf:True,1,False
D2015.01.15_S1202_I141_5,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2015.01.15_S1202_I141_6,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2015.01.15_S1202_I141_7,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2015.01.15_S1202_I141_8,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2015.01.15_S1202_I141_9,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False
D2015.01.24_S1210_I141_10,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2015.01.24_S1210_I141_11,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False
D2015.01.24_S1210_I141_12,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:False,0,False
D2015.01.24_S1210_I141_2,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
