id,n,mean,std,var
D2013.02.19_S0675_I141_1,300,3.9751911171297395e-05,0.00017765115427550272,3.155993261541846e-08
D2013.02.19_S0675_I141_2,300,5.7637240725701604e-05,0.00023940990655314093,5.731710335578367e-08
D2013.02.19_S0675_I141_3,300,5.6588056150867296e-05,0.0004284690962063123,1.835857664038541e-07
D2013.02.19_S0675_I141_4,300,8.402704630720829e-05,0.00012865526850666136,1.6552178114521126e-08
D2013.02.19_S0675_I141_5,300,3.388445344465178e-05,9.697585382525789e-05,9.404316225137786e-09
D2013.02.19_S0675_I141_6,300,3.948784433949489e-05,0.000434615305182584,1.8889046349895064e-07
D2013.02.19_S0675_I141_7,300,5.865631610078026e-05,0.00011130724419351516,1.2389302609954814e-08
D2013.02.19_S0675_I141_8,300,0.00010115500020494513,0.001219903548396383,1.4881646673900862e-06
D2013.02.19_S0675_I141_9,300,3.3210321221813406e-05,0.00010927401763493984,1.1940810930081143e-08
D2013.03.09_S0695_I141_1,300,1.3486212623187536e-05,0.0011007464820571643,1.211642817761223e-06
D2013.03.09_S0695_I141_10,300,-1.8215319180020136e-05,0.0007435165606404179,5.528168759465563e-07
D2013.03.09_S0695_I141_11,300,5.5599641102332955e-06,0.0002987642576302416,8.926008163734938e-08
D2013.03.09_S0695_I141_2,300,-7.478473124216123e-06,0.0017297696634467525,2.992103088580692e-06
D2013.03.09_S0695_I141_3,300,2.95998298217152e-05,0.0003774503726154115,1.4246878378751298e-07
D2013.03.09_S0695_I141_4,300,3.7434988268127965e-05,0.00019820790064690538,3.9286371878853514e-08
D2013.03.09_S0695_I141_5,300,1.2027620047282046e-05,0.0001410681323102464,1.990021795350118e-08
D2013.03.09_S0695_I141_6,300,1.7606187692583338e-06,0.00031737916565748844,1.0072953479344348e-07
D2013.03.09_S0695_I141_7,300,4.091390063483876e-05,0.00023505907291788633,5.52527677610162e-08
D2013.03.09_S0695_I141_8,300,9.57781705646236e-05,0.0007605117202533145,5.783780766426558e-07
D2013.03.09_S0695_I141_9,300,-8.375369925677964e-06,0.0006324020543417303,3.999323583356408e-07
D2013.04.26_S0732_I141_1,300,1.849191976506385e-05,0.00010442125453820751,1.0903798399333122e-08
D2013.04.26_S0732_I141_2,300,4.912518436123984e-05,0.0006296387775160035,3.9644499015184735e-07
D2013.04.26_S0732_I141_3,300,6.130422991295366e-05,0.0007983338445924354,6.373369274217388e-07
