Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.6943,0.629
ROCKET,1.1PN,0.25,0.0
ROCKET,1PN,0.4808,0.1481
ROCKET,2.1PN,0.6,0.6
ROCKET,2PN,0.6281,0.6537
ROCKET,3PN,0.7619,0.6154
ROCKET,>3PN,0.85,0.5714
ROCKET,not_vital,0.9816,0.0
LSTMFCN,Overall,0.6986,0.6312
LSTMFCN,1.1PN,0.3333,0.0
LSTMFCN,1PN,0.4936,0.1538
LSTMFCN,2.1PN,0.8,0.75
LSTMFCN,2PN,0.6326,0.6526
LSTMFCN,3PN,0.8333,0.6957
LSTMFCN,>3PN,0.6,0.3333
LSTMFCN,not_vital,0.9816,0.0
ConvTran,Overall,0.6948,0.6383
ConvTran,1.1PN,0.25,0.0
ConvTran,1PN,0.5288,0.1765
ConvTran,2.1PN,0.6,0.6
ConvTran,2PN,0.6179,0.6706
ConvTran,3PN,0.7381,0.5926
ConvTran,>3PN,0.9,0.6667
ConvTran,not_vital,0.9325,0.0
